idade,genero,estado,frequencia,combustivel,abastecimento,renda,posto,importancia,fidelidade-postos,aplicativo,motivo,conveniencia,classificacao
25-35 anos,Feminino,Piaui,Diariamente,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,3
Mais de 50 anos,Feminino,Maranhao,Diariamente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Petrobras,Preço,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Santa Catarina,2-4 vezes na semana,Gasolina comum,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Distrito Federal,Diariamente,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
25-35 anos,Feminino,Paraiba,Semanalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Masculino,Para,2-4 vezes na semana,Elétrico,Completo as vezes,Lazer,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,5
25-35 anos,Feminino,Rio Grande do Norte,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
18-24 anos,Feminino,Amazonas,Quinzenalmente,Etanol,Conforme o uso,Lazer,Petrobras,Qualidade do combustível,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Feminino,Sergipe,Semanalmente,GNV,Completo as vezes,Lazer,Petrobras,Qualidade do combustível,Sim,Não conheço,Cashback,Não,5
Mais de 50 anos,Masculino,Alagoas,Quinzenalmente,Etanol,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,5
25-35 anos,Masculino,Bahia,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
36-49 anos,Masculino,Maranhao,Diariamente,Elétrico,Conforme o uso,Lazer,Petrobras,Localização,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Sao Paulo,Quinzenalmente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,4
25-35 anos,Feminino,Roraima,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Maranhao,2-4 vezes na semana,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Atendimento,Não,Conheço mas não utilizo,Cashback,Não,3
Mais de 50 anos,Feminino,Amapa,2-4 vezes na semana,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Tocantins,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Atendimento,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Sao Paulo,Semanalmente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Não conheço,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Paraiba,Semanalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Localização,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Piaui,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Lazer,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Masculino,Santa Catarina,Semanalmente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,4
Mais de 50 anos,Masculino,Distrito Federal,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Sim,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Feminino,Pernambuco,Semanalmente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Petrobras,Atendimento,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Tocantins,Quinzenalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
18-24 anos,Feminino,Rio Grande do Sul,Semanalmente,GNV,Completo as vezes,Principal fonte de renda,Petrobras,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,3
Mais de 50 anos,Feminino,Espirito Santo,Diariamente,Etanol,Conforme o uso,Lazer,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Masculino,Sao Paulo,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Feminino,Espirito Santo,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Mato Grosso do Sul,2-4 vezes na semana,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Preço,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Ceara,Diariamente,Elétrico,Sempre completo,Lazer,Petrobras,Atendimento,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Feminino,Rondonia,Semanalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Localização,Sim,Não conheço,Descontos em abastecimento/serviços,Sim,3
25-35 anos,Feminino,Sao Paulo,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Não conheço,Cashback,Sim,5
18-24 anos,Masculino,Sao Paulo,Diariamente,Gasolina comum,Conforme o uso,Lazer,Petrobras,Qualidade do combustível,Não,Não conheço,Cashback,Sim,5
18-24 anos,Feminino,Tocantins,Quinzenalmente,Gasolina comum,Conforme o uso,Lazer,Petrobras,Localização,Não,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Rio Grande do Sul,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Goias,Quinzenalmente,Diesel,Conforme o uso,Lazer,Petrobras,Qualidade do combustível,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Mato Grosso,Diariamente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Preço,Não,Utilizo outros,Cashback,Não,4
36-49 anos,Feminino,Rondonia,Semanalmente,GNV,Sempre completo,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Não conheço,Cashback,Não,5
18-24 anos,Masculino,Piaui,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Sim,Conheço mas não utilizo,Cashback,Não,3
25-35 anos,Feminino,Rondonia,2-4 vezes na semana,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
18-24 anos,Masculino,Tocantins,Diariamente,Etanol,Completo as vezes,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,3
36-49 anos,Feminino,Santa Catarina,Semanalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Atendimento,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
25-35 anos,Masculino,Sao Paulo,2-4 vezes na semana,GNV,Conforme o uso,Lazer,Petrobras,Atendimento,Sim,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Feminino,Espirito Santo,Semanalmente,Diesel,Conforme o uso,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Sim,Não conheço,Cashback,Não,5
36-49 anos,Masculino,Parana,Quinzenalmente,GNV,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Alagoas,Quinzenalmente,Diesel,Sempre completo,Locomoção para o trabalho,Petrobras,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Masculino,Maranhao,Semanalmente,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,5
18-24 anos,Feminino,Distrito Federal,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Preço,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Feminino,Tocantins,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Para,2-4 vezes na semana,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,4
36-49 anos,Feminino,Goias,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Atendimento,Não,Não conheço,Cashback,Não,4
Mais de 50 anos,Masculino,Tocantins,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Loja de Conveniência,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Maranhao,Diariamente,Gasolina Aditivada,Sempre completo,Lazer,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,3
25-35 anos,Feminino,Maranhao,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,5
25-35 anos,Masculino,Amapa,Diariamente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Feminino,Para,Quinzenalmente,Etanol,Conforme o uso,Locomoção para o trabalho,Petrobras,Localização,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Espirito Santo,Quinzenalmente,Diesel,Sempre completo,Locomoção para o trabalho,Petrobras,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,4
Mais de 50 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Gasolina comum,Completo as vezes,Locomoção para o trabalho,Petrobras,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Piaui,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Atendimento,Não,Não conheço,Cashback,Não,5
36-49 anos,Masculino,Tocantins,Semanalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,4
25-35 anos,Masculino,Rio Grande do Sul,Quinzenalmente,Etanol,Sempre completo,Lazer,Petrobras,Preço,Não,Utilizo outros,Cashback,Sim,5
18-24 anos,Feminino,Ceara,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,3
18-24 anos,Feminino,Pernambuco,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Masculino,Sergipe,Quinzenalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Preço,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Feminino,Rio Grande do Norte,Semanalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Não,Não conheço,Cashback,Não,4
18-24 anos,Feminino,Minas Gerais,Diariamente,Diesel,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Não conheço,Cashback,Não,5
36-49 anos,Feminino,Maranhao,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Preço,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Rio Grande do Sul,Semanalmente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
18-24 anos,Masculino,Alagoas,Diariamente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Mato Grosso,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Sim,4
18-24 anos,Masculino,Acre,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,5
25-35 anos,Masculino,Rondonia,Diariamente,Etanol,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Acre,Diariamente,Diesel,Conforme o uso,Lazer,Petrobras,Atendimento,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Para,Quinzenalmente,Gasolina comum,Sempre completo,Principal fonte de renda,Petrobras,Preço,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Masculino,Roraima,Quinzenalmente,GNV,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Piaui,Quinzenalmente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Masculino,Pernambuco,Quinzenalmente,GNV,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Mato Grosso do Sul,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
25-35 anos,Feminino,Rio Grande do Sul,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Não,Não conheço,Descontos em abastecimento/serviços,Sim,4
25-35 anos,Feminino,Mato Grosso,Diariamente,Elétrico,Sempre completo,Lazer,Petrobras,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Espirito Santo,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Espirito Santo,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Feminino,Tocantins,Diariamente,Diesel,Completo as vezes,Lazer,Petrobras,Preço,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Roraima,Quinzenalmente,Gasolina comum,Sempre completo,Lazer,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Distrito Federal,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,4
36-49 anos,Feminino,Ceara,Semanalmente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Roraima,2-4 vezes na semana,Diesel,Completo as vezes,Lazer,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Não,5
18-24 anos,Masculino,Rondonia,Quinzenalmente,GNV,Conforme o uso,Lazer,Petrobras,Localização,Sim,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,5
36-49 anos,Feminino,Parana,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,3
36-49 anos,Feminino,Rondonia,2-4 vezes na semana,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Masculino,Rondonia,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Sergipe,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Petrobras,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Parana,Quinzenalmente,GNV,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
18-24 anos,Masculino,Sao Paulo,Quinzenalmente,Gasolina comum,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,3
25-35 anos,Feminino,Rio Grande do Norte,Diariamente,Gasolina comum,Conforme o uso,Lazer,Petrobras,Atendimento,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Feminino,Amapa,Semanalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Localização,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Espirito Santo,Semanalmente,Etanol,Conforme o uso,Lazer,Petrobras,Localização,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Tocantins,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Não conheço,Cashback,Não,4
Mais de 50 anos,Feminino,Roraima,Semanalmente,Diesel,Sempre completo,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Mato Grosso do Sul,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Não conheço,Cashback,Não,5
18-24 anos,Feminino,Amazonas,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,3
18-24 anos,Masculino,Tocantins,2-4 vezes na semana,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Feminino,Pernambuco,Quinzenalmente,Elétrico,Sempre completo,Lazer,Petrobras,Preço,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Para,Diariamente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Preço,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Para,Quinzenalmente,GNV,Sempre completo,Lazer,Petrobras,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,3
18-24 anos,Feminino,Bahia,Quinzenalmente,GNV,Completo as vezes,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Maranhao,Quinzenalmente,GNV,Completo as vezes,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Masculino,Sao Paulo,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Não,Não conheço,Cashback,Não,5
25-35 anos,Masculino,Alagoas,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Preço,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Espirito Santo,Semanalmente,GNV,Conforme o uso,Lazer,Petrobras,Preço,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,3
Mais de 50 anos,Feminino,Amazonas,Diariamente,GNV,Completo as vezes,Locomoção para o trabalho,Petrobras,Qualidade do combustível,Não,Não conheço,Cashback,Sim,5
